subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
1,csp,baseline,0,0.5180555555555556,0.5426620370370371,0.5369444444444443,0.5566990740740742,0.0307223980304393,4.967977740187072e-06,binomial,1933,3600,1.0,1.0,-0.006410569346741492
1,csp,baseline,1,0.5763888888888888,0.589783950617284,0.5369444444444443,0.5566990740740742,0.0307223980304393,4.967977740187072e-06,binomial,1933,3600,1.0,1.0,-0.006410569346741492
1,csp,baseline,2,0.5638888888888889,0.5887114197530864,0.5369444444444443,0.5566990740740742,0.0307223980304393,4.967977740187072e-06,binomial,1933,3600,1.0,1.0,-0.006410569346741492
1,csp,baseline,3,0.5111111111111111,0.5363657407407407,0.5369444444444443,0.5566990740740742,0.0307223980304393,4.967977740187072e-06,binomial,1933,3600,1.0,1.0,-0.006410569346741492
1,csp,baseline,4,0.5152777777777777,0.5259722222222223,0.5369444444444443,0.5566990740740742,0.0307223980304393,4.967977740187072e-06,binomial,1933,3600,1.0,1.0,-0.006410569346741492
1,tangent,baseline,0,0.5152777777777777,0.5187654320987654,0.5080555555555556,0.5118595679012345,0.01311746550346398,0.17105667312202621,binomial,1829,3600,1.0,1.0,-0.006410569346741492
1,tangent,baseline,1,0.4930555555555556,0.5120987654320988,0.5080555555555556,0.5118595679012345,0.01311746550346398,0.17105667312202621,binomial,1829,3600,1.0,1.0,-0.006410569346741492
1,tangent,baseline,2,0.5236111111111111,0.511983024691358,0.5080555555555556,0.5118595679012345,0.01311746550346398,0.17105667312202621,binomial,1829,3600,1.0,1.0,-0.006410569346741492
1,tangent,baseline,3,0.49583333333333335,0.4914274691358025,0.5080555555555556,0.5118595679012345,0.01311746550346398,0.17105667312202621,binomial,1829,3600,1.0,1.0,-0.006410569346741492
1,tangent,baseline,4,0.5125,0.5250231481481481,0.5080555555555556,0.5118595679012345,0.01311746550346398,0.17105667312202621,binomial,1829,3600,1.0,1.0,-0.006410569346741492
1,csp,asr,0,0.5305555555555556,0.5489814814814815,0.5297222222222222,0.5505293209876544,0.01882956370009148,0.00019191827615615124,binomial,1907,3600,1.379497812851347,1.1237192343906879,-0.007172547362166976
