backbone,comparison,p_value,cohen_d,mean_diff,comparison_method
csp,gedai - baseline,0.06418997117728065,0.6395448970216526,0.013935185185185217,mann_whitney
csp,icalabel - baseline,0.49630347173041645,-0.23874512933639086,-0.004212962962962918,mann_whitney
csp,gedai - icalabel,0.00682837709231365,0.9455623917241172,0.018148148148148135,mann_whitney
csp,asr - baseline,0.2546769217941859,0.33688621677206276,0.006774691358024665,mann_whitney
csp,gedai - asr,0.3425091993837791,0.33336002118637514,0.007160493827160552,mann_whitney
csp,icalabel - asr,0.020048600175371797,-0.636496507818317,-0.010987654320987583,mann_whitney
tangent,gedai - baseline,3.2166192782091997e-07,4.548477858046653,0.07768518518518508,mann_whitney
tangent,icalabel - baseline,0.962140979696246,-0.1257419176376724,-0.0016049382716051275,mann_whitney
tangent,gedai - icalabel,3.2222239730311995e-07,4.759233080722668,0.0792901234567902,mann_whitney
tangent,asr - baseline,0.6807930201311501,0.25322097295840845,0.003487654320987632,mann_whitney
tangent,gedai - asr,3.2166192782091997e-07,4.253062165600343,0.07419753086419745,mann_whitney
tangent,icalabel - asr,0.30373676145501505,-0.3843498512351475,-0.0050925925925927595,mann_whitney
